Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Trimestre],Champ de vision.=[01/01/2025 - 31/03/2025],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B079PN72PJ,"Hama Souris Optique sans Fil Riano (Souris Gauche sans Fil, avec récepteur Nano USB, Vertical, 800-1600 dpi, Interrupteur de Marche/arrêt, 3 Boutons, 2,4 GHz) Noir",Hama,"1 837,08 €","15,79 %","15,28 %",125,"16,82 %","20,19 %","1 853,26 €","17,09 %","14,26 %","1 262,95 €","17,21 %","18,04 %",126,"17,76 %","18,87 %",2,"-33,33 %","-50,00 %"
B07SZ3FCZH,"Hama Album photo mémo ""Forest"" (pour 200 photos au format 10 x 15 cm, album traditionnel enfant de 22,5 x 22 cm, 100 pages blanches, animaux, élégant, emplacement CD) Marron/Beige/Vert/Orange/Jaune",Hama,"1 816,23 €","-42,20 %","-37,52 %",144,"-41,70 %","-30,43 %","1 770,43 €","-44,51 %","-41,64 %","719,47 €","-43,91 %","-48,24 %",139,"-44,62 %","-35,65 %",6,"20,00 %","50,00 %"
B0032DAL6U,"Hama Album photo ''Catania'' (taille 22 x 22 cm pour 200 photos au format 10 x 15 cm, 100 pages, papier stratifié, thématique mariage/vacances, emplacement pour CD, personnalisable) Gris",Hama,"1 811,03 €","166,27 %","-63,22 %",186,"272,00 %","-61,49 %","1 778,23 €","166,54 %","-64,80 %","904,54 €","271,47 %","-63,31 %",182,"271,43 %","-63,38 %",2,,"0,00 %"
B000EBFN70,"Hama Trépied Appareil Photo Vidéo 106.5cm Star 5"" avec Sac de Transport (Trépied Télescopique Aluminium 4 éléments, Tête 3 Voies 3D, Niveaux à Bulles intégrés, Attache Rapide) Beige",Hama,"1 771,31 €","91,34 %","-7,50 %",126,"88,06 %","-7,35 %","1 756,88 €","86,93 %","-9,58 %","1 354,76 €","82,92 %","-9,89 %",125,"83,82 %","-9,42 %",7,"16,67 %","16,67 %"
B00G3BMWQA,"Xavax Minuteur à œuf (avec fonction minuterie, sablier, en acier inoxydable) Argent",xavax,"1 725,43 €","-13,34 %","22 936,45 %",242,"-9,36 %","24 100,00 %","1 725,43 €","-13,99 %","22 936,45 %","1 219,46 €","2,33 %","27 427,31 %",242,"-10,04 %","24 100,00 %",3,"-57,14 %",
B0BNLNC6KX,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Argenté",Hama,"1 723,34 €","-0,39 %","60,41 %",8,"0,00 %","60,00 %","1 938,01 €","27,89 %","80,39 %","1 836,00 €","28,57 %","75,86 %",9,"28,57 %","80,00 %",1,"0,00 %","0,00 %"
B000EORX5W,"Hama 00033833 Pochette, Noir (pour 120 CD/DVD/Blu-ray, classeur de rangement, gain de place pour le bureau, le salon et la maison, étuis de transport)",Hama,"1 723,26 €","14,92 %","-69,84 %",99,"15,12 %","-70,27 %","1 687,26 €","11,20 %","-70,29 %","863,59 €","11,41 %","-70,75 %",97,"11,49 %","-70,69 %",2,"-33,33 %","-75,00 %"
B000V8QPQ4,"hama hama Câble d'antenne, prise coaxiale 75 db - prise coaxiale 10,0 m",Hama,"1 720,55 €","90,50 %","70,89 %",187,"96,84 %","98,94 %","1 744,29 €","97,69 %","72,51 %","771,40 €","106,52 %","100,00 %",190,"106,52 %","100,00 %",4,"100,00 %","33,33 %"
B071VWLNZB,"Hama 00137234 Alimentation pour PC",Hama,"1 555,44 €","16,16 %","29,16 %",88,"15,79 %","25,71 %","1 605,42 €","22,77 %","37,58 %","942,76 €","22,97 %","37,25 %",91,"22,97 %","35,82 %",5,"150,00 %","25,00 %"
B0C5JQPC2P,"Classeur avec mécanisme à 4 anneaux, larg. 70 mm, avec étui, noir/gris",Hama,"1 520,56 €","144,12 %","1 560,00 %",83,"144,12 %","1 560,00 %","1 520,56 €","137,14 %","1 560,00 %","979,40 €","137,14 %","1 560,00 %",83,"137,14 %","1 560,00 %",2,"-33,33 %",
