Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Semaine],Champ de vision.=[02/03/2025 - 08/03/2025],Rapport mis à jour=[21/03/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Unités commandées","Chiffre d’affaires basé sur les expéditions","COGS expédié","Unités expédiées","Retours client"
B08FRHV5D1,"Hama Clé USB 3.0 ""Rotate"" (capacité de 64 GB, taux de transfert de 70 MB/s, avec accroche porte-clefs, flashpen clé usb) Bleu Pétrole",Hama,"88,74 €",12,"88,74 €","66,80 €",12,
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"87,36 €",21,"83,20 €","46,60 €",20,
B0C5JRX9HV,"Hama Multiprise avec Interrupteur 1.4m (6 Prises typeE, Norme NF, interrupteurs général + indiv. éclairés, Protection Surtensions, Montage Mural, Sécurité Enfants, 3680W/16A) Noir",Hama,"86,64 €",4,"151,62 €","118,28 €",7,
B06XBXLK8B,"Hama Album photo ""Lazise"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm, résistant, pour archiver avec des anecdotes, protège la photo, mini album) 4 Motifs cœur aléatoires",Hama,"85,56 €",69,"85,56 €","60,72 €",69,
B08SFG3JH5,"Hama Album photo ""To The Moon"" (Album souvenirs Anniversaires, Baptême, Baby Shower, Idée cadeau, 22.5x22 cm, 100 pages blanches, Zone Mémo, 200 photos 10x15 cm, Insertion latérale) Multicolore",Hama,"85,27 €",5,"67,97 €","35,13 €",4,1
B000FNO03K,"THOMSON Microphone Dynamique M150 (fiche Jack 3,52 mm, Longueur de câble 3 m, Party) Noir",Thomson,"84,96 €",6,"70,80 €","61,95 €",5,
B07T4DLJ4Y,"Hama Album photo Jumbo ""Forest"" (pour 400 photos au format 10 x 15 cm, album traditionnel enfant de 30 x 30 cm, 100 pages blanches, renards, élégant) Marron/Beige/Vert/Orange/Blanc",Hama,"83,23 €",5,"83,23 €","47,75 €",5,
B00006JCUF,"Hama 00030392 Bloc Multiprises à 3 Sorties avec Interrupteur, 1,4 m, Noir",Hama,"82,39 €",11,"82,39 €","42,90 €",11,
B0CP85VQFG,"Xavax 00220734 Raccord de Siphon, Blanc",Xavax,"81,48 €",14,"81,48 €","42,00 €",14,
B01BBTCVOQ,"Hama Album Photo Fine Art (Format 30 x 30 cm, 100 Pages Blanches, sans Spirale) Kiwi",Hama,"79,92 €",6,"79,92 €","49,08 €",6,
